AccountID,CustomerID,Account_Type,Balance,Currency,Status,OpenedDate,Branch_ID
A00001,C0001,chequing,,CAD,active,05/09/2015,BR005
A00002,C0002,investment,19246.8,CAD,active,2023-04-08,BR002
A00003,C0003,RRSP,11825.36,CAD,active,2015-04-22,BR020
A00004,C0003,chequing,6563.79,CAD,active,2015-12-08,BR020
A00005,C0004,RRSP,5878.44,CAD,active,14/04/2022,BR008
A00006,C0005,INVESTMENT,2340.21,CAD,closed,2011-01-18,BR014
A00007,C0005,TFSA,3608.21,CAD,inactive,26/10/2010,BR014
A00008,C0006,TFSA,12924.75,CAD,inactive,2014-12-06,BR004
A00009,C0007,SAVINGS,7516.15,CAD,active,2018-06-08,BR020
A00010,C0008,TFSA,8079.15,CAD,active,2022-08-30,BR013
A00011,C0008,investment,4391.14,CAD,active,2023-01-04,BR013
A00012,C0009,RRSP,47568.66,CAD,inactive,2024-07-03,BR019
A00013,C0009,savings,16238.88,CAD,active,2024-07-04,BR019
A00014,C0009,TFSA,5080.8,CAD,active,23/04/2024,BR019
A00015,C0010,SAVINGS,2491.31,CAD,active,2015-03-16,BR003
A00016,C0010,TFSA,,CAD,active,2015-09-19,BR003
A00017,C0011,RRSP,5530.54,CAD,active,2017-01-08,BR012
A00018,C0011,chequing,7132.23,CAD,active,2016-10-23,BR012
A00019,C0011,investment,6609.6,CAD,inactive,2016-10-29,BR012
A00020,C0012,RRSP,3328.35,CAD,active,05/11/2014,BR009
A00021,C0012,investment,9513.51,CAD,active,2015-08-15,BR009
A00022,C0012,savings,3576.09,CAD,inactive,11/03/2015,BR009
A00023,C0013,RRSP,6891.59,CAD,inactive,2022-07-31,BR008
A00024,C0013,SAVINGS,5746.52,CAD,active,2022-11-07,BR008
A00025,C0014,INVESTMENT,6705.65,CAD,active,04/02/2016,BR018
A00026,C0015,investment,14963.42,CAD,active,2015-08-18,BR011
A00027,C0016,TFSA,6352.92,CAD,active,2014-12-06,BR011
A00028,C0016,chequing,4310.61,CAD,active,10/11/2014,BR011
A00029,C0017,investment,5621.8,CAD,active,2020-10-22,BR009
A00030,C0017,SAVINGS,5348.0,CAD,active,2021-01-31,BR009
A00031,C0018,RRSP,5409.2,CAD,active,2022-02-27,BR019
A00032,C0019,TFSA,5294.61,CAD,active,2015-07-02,BR017
A00033,C0019,RRSP,2390.66,CAD,active,29/01/2015,BR017
A00034,C0020,RRSP,,CAD,active,13/03/2013,BR006
A00035,C0020,TFSA,25909.21,CAD,closed,2013-01-05,BR006
A00036,C0021,savings,9406.97,CAD,active,2018-10-02,BR015
A00037,C0022,TFSA,4162.06,CAD,active,24/08/2022,BR011
A00038,C0023,RRSP,4969.28,CAD,active,24/08/2013,BR001
A00039,C0023,investment,11651.68,CAD,active,2014-02-27,BR001
A00040,C0024,RRSP,,CAD,active,2012-12-14,BR010
A00041,C0024,TFSA,5967.73,CAD,active,18/07/2012,BR010
A00042,C0024,investment,6562.28,CAD,inactive,2012-08-16,BR010
A00043,C0025,investment,4177.02,CAD,active,09/10/2013,BR017
A00044,C0025,chequing,29275.91,CAD,active,2014-05-11,BR017
A00045,C0025,savings,5801.31,CAD,active,2014-02-05,BR017
A00046,C0026,chequing,10981.24,CAD,active,13/09/2021,BR004
A00047,C0027,savings,3598.79,CAD,active,18/08/2011,BR019
A00048,C0028,SAVINGS,8821.82,CAD,active,2012-06-20,BR005
A00049,C0029,TFSA,6734.08,CAD,closed,2014-08-28,BR017
A00050,C0029,RRSP,3511.89,CAD,closed,2014-08-05,BR017
A00051,C0030,investment,58379.25,CAD,active,2014-08-09,BR010
A00052,C0030,savings,8990.21,CAD,active,2014-11-23,BR010
A00053,C0030,TFSA,28107.26,CAD,active,2014-08-12,BR010
A00054,C0031,investment,28061.88,CAD,active,18/09/2021,BR004
A00055,C0032,RRSP,7438.61,CAD,active,17/04/2018,BR019
A00056,C0033,CHEQUING,,CAD,active,03/07/2012,BR002
A00057,C0033,TFSA,2233.84,CAD,active,2012-04-17,BR002
A00058,C0033,investment,,CAD,inactive,26/09/2011,BR002
A00059,C0034,CHEQUING,5759.53,CAD,active,2017-10-03,BR017
A00060,C0034,SAVINGS,3177.59,CAD,active,2018-02-22,BR017
A00061,C0034,RRSP,4571.17,CAD,closed,2017-12-06,BR017
A00062,C0035,RRSP,2595.33,CAD,active,2015-09-10,BR005
A00063,C0035,chequing,11512.92,CAD,active,2014-12-09,BR005
A00064,C0036,RRSP,5390.64,CAD,active,2019-05-04,BR004
A00065,C0037,investment,5544.05,CAD,closed,07/12/2019,BR015
A00066,C0038,RRSP,7189.37,CAD,active,19/06/2019,BR011
A00067,C0038,CHEQUING,4828.25,CAD,inactive,29/06/2019,BR011
A00068,C0039,RRSP,10023.06,CAD,active,2015-03-17,BR015
A00069,C0039,chequing,5715.14,CAD,active,2014-10-10,BR015
A00070,C0039,investment,101594.98,CAD,closed,29/09/2014,BR015
A00071,C0040,SAVINGS,14051.29,CAD,active,2016-06-18,BR008
A00072,C0041,RRSP,431.31,CAD,active,2012-12-07,BR018
A00073,C0042,RRSP,376.73,CAD,active,2013-11-30,BR016
A00074,C0043,SAVINGS,1226.3,CAD,active,2012-04-14,BR013
A00075,C0044,savings,865.88,CAD,active,12/10/2020,BR014
A00076,C0044,TFSA,917.7,CAD,closed,2020-07-15,BR014
A00077,C0044,chequing,,CAD,active,22/01/2021,BR014
A00078,C0045,TFSA,393.7,CAD,active,2017-05-27,BR002
A00079,C0045,savings,498.76,CAD,closed,2017-04-24,BR002
A00080,C0046,RRSP,405.23,CAD,active,2011-09-28,BR016
A00081,C0047,TFSA,1544.55,CAD,active,2012-07-02,BR003
A00082,C0048,savings,721.43,CAD,active,2012-10-05,BR008
A00083,C0048,RRSP,485.02,CAD,active,2013-03-18,BR008
A00084,C0048,TFSA,390.95,CAD,active,31/10/2012,BR008
A00085,C0049,chequing,475.72,CAD,active,2019-07-09,BR019
A00086,C0049,investment,482.3,CAD,active,2019-10-14,BR019
A00087,C0050,TFSA,919.21,CAD,inactive,10/05/2017,BR009
A00088,C0050,CHEQUING,741.74,CAD,closed,2017-07-14,BR009
A00089,C0051,TFSA,1797.63,CAD,active,2020-08-01,BR003
A00090,C0051,investment,569.19,CAD,active,2020-05-14,BR003
A00091,C0052,chequing,406.31,CAD,active,2013-03-30,BR018
A00092,C0053,savings,880.07,CAD,closed,25/03/2018,BR008
A00093,C0053,chequing,1007.27,CAD,active,2018-06-28,BR008
A00094,C0054,TFSA,647.31,CAD,active,2020-06-15,BR010
A00095,C0055,CHEQUING,1040.76,CAD,active,13/07/2012,BR009
A00096,C0055,INVESTMENT,585.8,CAD,active,2013-03-05,BR009
A00097,C0055,RRSP,610.22,CAD,active,23/06/2012,BR009
A00098,C0056,chequing,538.47,CAD,active,2013-07-21,BR010
A00099,C0057,RRSP,381.43,CAD,active,04/01/2016,BR016
A00100,C0057,TFSA,402.96,CAD,active,2016-08-14,BR016
A00101,C0058,RRSP,382.89,CAD,active,2020-04-21,BR002
A00102,C0059,TFSA,740.05,CAD,active,16/11/2015,BR015
A00103,C0060,TFSA,477.26,CAD,active,2011-12-13,BR005
A00104,C0061,investment,597.94,CAD,closed,01/06/2013,BR005
A00105,C0062,RRSP,2103.86,CAD,inactive,10/06/2011,BR007
A00106,C0062,chequing,449.81,CAD,active,2010-12-15,BR007
A00107,C0063,INVESTMENT,527.81,CAD,active,2022-08-26,BR020
A00108,C0063,chequing,991.05,CAD,active,24/06/2023,BR020
A00109,C0063,savings,442.05,CAD,active,16/05/2023,BR020
A00110,C0064,CHEQUING,394.48,CAD,active,19/06/2014,BR001
A00111,C0065,savings,466.34,CAD,active,27/03/2016,BR006
A00112,C0065,TFSA,418.92,CAD,active,2015-10-03,BR006
