LoanID,CustomerID,LoanType,PrincipalAmount,OutstandingBalance,InterestRate,StartDate,EndDate,Status,MonthlyPayment
L00001,C0096,mortgage,869548.73,869548.73,3.87,2017-04-21,2032-04-17,active,6375.45
L00002,C0016,personal,9426.82,9426.82,12.3,26-Jul-2016,2021-07-25,active,211.13
L00003,C0031,personal,25652.63,11118.4,10.01,05-Apr-2022,2024-04-04,defaulted,1183.86
L00004,C0159,mortgage,451356.82,199033.82,4.4,29-Apr-2023,21/04/2053,delinquent,2260.22
L00005,C0129,personal,4513.28,4513.28,9.34,31-Jul-2013,2014-07-31,active,395.4
L00006,C0116,personal,40215.15,40215.15,7.51,11-Feb-2016,10/02/2019,active,1251.13
L00007,C0070,mortgage,743314.05,743314.05,4.39,2011-04-24,20/04/2026,active,5644.6
L00008,C0171,auto,41696.2,41696.2,5.95,23-Dec-2016,22/12/2021,active,805.14
L00009,C0171,personal,22171.9,22171.9,9.28,2016-10-06,2017-10-06,active,1941.85
L00010,C0175,mortgage,333832.7,0.0,4.71,2019-08-11,2044-08-04,closed,1895.57
L00011,C0175,business,401822.49,319248.58,8.78,11-Jan-2018,2028-01-09,defaulted,5042.4
L00012,C0046,auto,41575.82,41575.82,4.94,2012-11-07,2016-11-06,active,956.33
L00013,C0067,business,422548.57,0.0,7.83,28-May-2015,2025-05-25,closed,5088.8
L00014,C0183,business,375244.56,375244.56,8.55,2022-03-21,2027-03-20,active,7707.76
L00015,C0166,personal,22013.4,22013.4,13.04,2012-06-27,2015-06-27,active,742.14
L00016,C0166,personal,12676.72,12676.72,10.93,01-Mar-2012,28/02/2017,active,275.18
L00017,C0079,personal,30114.74,0.0,13.51,2013-11-01,01/11/2014,closed,2696.98
L00018,C0187,mortgage,366237.48,366237.48,6.3,2016-08-31,2036-08-26,active,2687.62
L00019,C0187,mortgage,204925.66,,5.56,02-Jun-2016,2046-05-26,active,1171.27
L00020,C0178,personal,48664.11,0.0,11.77,2020-05-09,09/05/2023,closed,1611.0
L00021,C0057,personal,36326.36,36326.36,12.1,2016-03-07,2021-03-06,active,809.9
L00022,C0153,personal,8180.86,6287.77,9.88,2022-08-07,2027-08-06,defaulted,173.34
L00023,C0153,auto,35152.14,35152.14,5.73,2022-12-30,2025-12-29,active,1065.1
L00024,C0083,auto,27244.05,27244.05,5.38,2014-06-27,26/06/2019,active,518.89
L00025,C0069,auto,43708.32,43708.32,6.81,2018-01-18,17/01/2024,active,741.2
L00026,C0125,personal,43103.17,36175.12,12.94,10-Aug-2018,09/08/2023,delinquent,979.41
L00027,C0125,mortgage,557252.43,557252.43,5.22,2019-05-07,2039-05-02,active,3745.68
L00028,C0017,business,67499.1,67499.1,6.29,2021-08-19,18/08/2026,active,1314.07
L00029,C0149,business,178661.11,138040.62,7.66,2013-10-19,2023-10-17,delinquent,2135.69
L00030,C0094,auto,26307.38,18187.79,8.46,2021-06-29,28/06/2025,defaulted,647.94
L00031,C0066,mortgage,542831.17,542831.17,4.51,2022-02-15,08/02/2052,active,2753.67
L00032,C0061,auto,26585.49,0.0,5.87,2014-02-13,12/02/2019,closed,512.37
L00033,C0061,auto,17106.5,17106.5,5.16,18-Feb-2014,2019-02-17,active,324.08
L00034,C0085,business,22370.37,14739.7,8.21,27-Mar-2016,27/03/2019,delinquent,703.18
L00035,C0068,business,392255.12,392255.12,8.35,12-Jun-2016,11/06/2021,active,8019.39
L00036,C0068,mortgage,868748.61,868748.61,4.72,2018-01-28,24/01/2033,active,6743.96
L00037,C0126,auto,19032.36,,6.89,2016-09-20,2019-09-20,active,586.71
L00038,C0133,auto,36108.98,0.0,7.31,2023-11-04,03/11/2027,closed,869.88
L00039,C0010,auto,19054.74,0.0,7.01,2016-10-29,2019-10-29,closed,588.44
L00040,C0010,business,415362.8,415362.8,6.9,2016-10-21,20/10/2021,active,8205.1
L00041,C0019,personal,18158.5,0.0,7.65,2015-04-23,2018-04-22,closed,566.09
L00042,C0019,personal,31250.86,31250.86,10.45,2015-11-22,21/11/2018,active,1014.99
L00043,C0056,business,381685.28,,6.51,2014-12-12,2024-12-09,active,4335.9
L00044,C0056,auto,58631.5,35054.55,4.06,2014-12-19,18/12/2019,delinquent,1081.38
L00045,C0076,auto,54190.1,0.0,6.63,2018-12-23,2021-12-22,closed,1664.08
L00046,C0076,business,364268.99,364268.99,6.0,29-May-2020,2023-05-29,active,11081.77
L00047,C0151,mortgage,877085.18,0.0,4.56,2012-03-03,2032-02-27,closed,5577.32
L00048,C0151,auto,53292.23,53292.23,6.11,02-Sep-2011,31/08/2016,active,1033.02
L00049,C0105,mortgage,480013.88,480013.88,4.88,02-Jan-2022,27/12/2046,active,2772.66
L00050,C0136,auto,57694.71,57694.71,4.51,2015-06-18,16/06/2020,active,1075.87
L00051,C0138,business,496846.31,0.0,7.75,28-Sep-2022,25/09/2032,closed,5962.68
L00052,C0165,personal,17360.0,0.0,11.31,26-Dec-2014,25/12/2019,closed,380.14
L00053,C0077,auto,29854.8,29854.8,5.1,25-Jul-2010,2014-07-24,active,688.89
L00054,C0077,business,328556.02,,7.89,2011-11-02,31/10/2016,active,6644.65
L00055,C0080,personal,42254.89,42254.89,8.69,2017-04-27,27/04/2019,active,1924.4
L00056,C0198,business,21194.16,21194.16,6.61,2023-02-10,2033-02-07,active,241.84
L00057,C0198,mortgage,886294.51,886294.51,5.09,29-Oct-2023,25/10/2038,active,7050.38
L00058,C0039,personal,9040.71,9040.71,9.36,2015-04-21,2018-04-20,active,289.01
L00059,C0025,business,304985.5,304985.5,5.09,2014-02-18,17/02/2019,active,5768.04
L00060,C0123,business,125630.53,0.0,6.9,2015-12-26,24/12/2020,closed,2481.71
L00061,C0196,mortgage,812927.6,455535.21,4.18,2014-06-09,2029-06-05,delinquent,6086.72
L00062,C0030,business,150911.71,150911.71,8.2,2016-05-08,06/05/2026,active,1846.96
L00063,C0020,mortgage,564141.92,0.0,5.93,2014-03-03,2044-02-24,closed,3356.97
L00064,C0144,auto,49135.21,49135.21,5.89,2014-11-22,2019-11-21,active,947.41
L00065,C0087,mortgage,808895.76,435249.96,5.13,2020-12-02,29/11/2035,delinquent,6451.61
L00066,C0115,mortgage,198601.47,198601.47,4.98,2022-09-25,21/09/2037,active,1568.46
L00067,C0174,auto,39643.27,39643.27,7.2,26-Dec-2020,25/12/2026,active,679.69
L00068,C0006,personal,28423.71,28423.71,9.82,2016-05-19,2018-05-19,active,1309.25
L00069,C0127,personal,34891.9,21754.3,9.49,18-Jan-2013,18/01/2015,delinquent,1601.88
L00070,C0118,personal,32316.64,32316.64,11.51,30-Mar-2017,2018-03-30,active,2863.89
L00071,C0074,mortgage,755460.1,755460.1,3.8,2014-09-18,2044-09-10,active,3520.12
L00072,C0074,mortgage,250361.33,250361.33,5.93,2012-11-23,2042-11-16,active,1489.79
L00073,C0141,business,427908.67,0.0,7.38,29-Apr-2022,2025-04-28,closed,13287.05
L00074,C0141,business,125334.11,125334.11,8.12,2023-10-01,28/09/2033,active,1528.61
L00075,C0099,personal,45453.88,45453.88,10.34,2014-12-24,23/12/2019,active,973.38
L00076,C0173,business,136453.0,105021.46,6.26,2016-08-31,2021-08-30,defaulted,2654.55
L00077,C0097,business,395811.49,,8.46,06-Feb-2020,05/02/2023,defaulted,12487.46
L00078,C0170,business,375072.84,375072.84,8.06,14-Dec-2011,11/12/2021,active,4562.57
L00079,C0098,auto,10220.82,10220.82,7.8,02-Dec-2011,2016-11-30,active,206.26
L00080,C0032,mortgage,632780.59,632780.59,5.07,2019-02-10,2039-02-05,active,4200.58
L00081,C0013,auto,24181.34,24181.34,8.42,2022-05-10,2026-05-09,active,595.12
L00082,C0036,auto,54163.72,54163.72,8.28,2019-08-22,21/08/2022,active,1704.3
L00083,C0036,personal,40077.38,26264.12,12.88,2020-05-02,2022-05-02,delinquent,1903.09
L00084,C0120,auto,28464.29,28464.29,8.2,26-Mar-2023,2026-03-25,active,894.6
L00085,C0043,business,236160.44,194202.66,6.79,18-Oct-2011,17/10/2014,defaulted,7269.3
L00086,C0190,auto,34643.66,34643.66,5.19,16-Sep-2012,2018-09-15,active,560.99
L00087,C0190,auto,47586.69,47586.69,5.04,2012-04-18,2018-04-17,active,767.26
L00088,C0091,mortgage,313446.89,313446.89,3.9,2016-08-12,06/08/2041,active,1637.23
L00089,C0091,personal,26289.53,0.0,8.06,06-Apr-2016,2017-04-06,closed,2287.61
L00090,C0137,business,359080.87,359080.87,5.64,22-Nov-2017,20/11/2027,active,3921.93
L00091,C0052,business,264341.1,264341.1,8.85,2012-11-28,2022-11-26,active,3327.14
L00092,C0128,personal,6258.96,6258.96,10.69,2021-10-05,2024-10-04,active,203.99
L00093,C0163,personal,16404.12,16404.12,9.32,2021-05-20,2024-05-19,active,524.09
L00094,C0042,auto,38320.05,38320.05,7.59,13-Feb-2015,2018-02-12,active,1193.58
L00095,C0119,auto,27983.63,27983.63,6.12,2013-04-05,2018-04-04,active,542.56
L00096,C0119,personal,18578.09,0.0,11.24,11-Sep-2013,2016-09-10,closed,610.34
L00097,C0114,mortgage,515292.13,471490.7,5.72,19-May-2021,2036-05-15,defaulted,4270.76
L00098,C0027,mortgage,823169.88,526417.77,3.73,07-Jul-2012,04/07/2027,delinquent,5978.11
L00099,C0140,auto,13141.86,7659.0,7.54,12-May-2021,2026-05-11,defaulted,263.59
L00100,C0101,mortgage,341359.16,0.0,5.19,2017-08-01,2047-07-25,closed,1872.33
L00101,C0112,personal,36510.35,36510.35,7.44,2022-08-05,04/08/2027,active,730.55
L00102,C0003,personal,38991.23,16416.92,6.72,2016-06-27,27/06/2018,delinquent,1740.79
L00103,C0078,mortgage,634357.24,634357.24,4.65,02-Nov-2020,2040-10-28,active,4064.8
L00104,C0047,personal,23716.15,23716.15,7.42,2013-01-16,15/01/2018,active,474.32
L00105,C0188,mortgage,898036.42,898036.42,5.74,2021-06-08,03/06/2041,active,6299.84
L00106,C0192,mortgage,786772.22,786772.22,3.88,2022-12-14,2042-12-09,active,4718.08
L00107,C0086,mortgage,891425.74,891425.74,5.68,2024-03-03,2054-02-24,active,5162.55
L00108,C0162,business,316254.55,316254.55,5.06,2012-04-30,2017-04-29,active,5976.81
L00109,C0037,auto,23830.31,23830.31,7.66,2020-05-07,2023-05-07,active,743.02
L00110,C0191,personal,39289.48,39289.48,9.13,2016-03-14,2021-03-13,active,818.07
L00111,C0062,auto,23972.83,23972.83,7.91,14-Feb-2011,2017-02-12,active,419.27
L00112,C0062,mortgage,334749.67,334749.67,5.75,2011-08-03,2041-07-26,active,1953.51
L00113,C0023,auto,41427.98,0.0,8.02,17-Aug-2014,2019-08-16,closed,840.41
L00114,C0142,personal,25326.44,25326.44,9.79,2020-01-12,11/01/2023,active,814.72
L00115,C0102,mortgage,845470.53,845470.53,6.41,2022-03-09,2047-03-03,active,5661.22
L00116,C0034,auto,45887.58,45887.58,8.4,2018-04-20,2023-04-19,active,939.24
L00117,C0034,auto,28765.17,27314.36,4.63,2019-02-05,2023-02-04,defaulted,657.63
L00118,C0012,personal,5173.02,2833.94,13.44,04-Nov-2015,03/11/2018,delinquent,175.4
L00119,C0195,auto,23205.36,0.0,7.73,29-Apr-2019,2023-04-28,closed,563.57
L00120,C0160,auto,38594.73,0.0,6.37,06-Aug-2022,04/08/2028,closed,646.39
L00121,C0007,personal,43992.73,43992.73,6.56,08-Oct-2019,07/10/2020,active,3797.63
L00122,C0007,auto,30922.24,30922.24,6.93,2018-05-26,2024-05-24,active,526.15
L00123,C0028,mortgage,753293.37,0.0,5.01,2011-11-30,26/11/2026,closed,5960.92
L00124,C0121,business,61171.57,55014.37,5.82,30-May-2018,29/05/2021,delinquent,1855.97
